ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
SRTA,5.33,5.18,4.41,2.9,2105843,676005,3.12,5.08,6.93,4.76,6.31,14.86,4.71,True,13.2,83,B+,SOLID,🟡
IFF,82.93,76.19,68.78,8.85,4202935,1488700,2.82,74.67,107.81,9.96,3.01,9.73,72.25,True,14.78,83,B+,SOLID,🟡
GEO,22.2,19.33,17.54,14.85,5012926,1483325,3.38,18.94,28.86,14.67,2.05,9.26,18.61,True,19.27,82,B+,SOLID,🟡
DOC,19.5,17.43,15.7,11.88,25885009,7745310,3.34,17.08,25.35,12.4,2.42,9.93,16.72,True,16.62,82,B+,SOLID,🟡
FLYW,17.51,14.58,13.1,20.1,10267762,1835070,5.6,14.29,22.76,18.4,1.63,10.15,13.52,True,29.49,81,B+,SOLID,🟡
TGTX,41.97,38.38,33.23,9.35,6098537,1796625,3.39,37.61,54.56,10.38,2.89,13.42,35.55,True,18.06,78,B+,SOLID,🟡
SMCI,34.66,29.94,25.46,15.76,123653428,31257600,3.96,29.34,45.06,15.35,1.95,14.96,27.72,True,25.02,75,B+,SOLID,🟡
VCYT,41.19,34.8,31.16,18.36,2968667,756005,3.93,34.1,53.55,17.2,1.74,10.46,33.54,True,22.79,75,B+,SOLID,🟡
TMC,6.16,5.83,4.87,5.66,12664622,4707420,2.69,5.71,8.01,7.25,4.14,16.47,5.16,True,19.38,75,B+,SOLID,🟡
JOBY,10.52,9.89,8.19,6.37,63779107,25988870,2.45,9.69,13.68,7.87,3.81,17.19,8.95,True,17.59,72,B,SOLID,🟡
COMP,9.24,8.35,7.01,10.66,36223629,12480075,2.9,8.18,12.01,11.44,2.62,16.05,7.64,True,20.87,71,B,SOLID,🟡
UBER,79.17,78.76,72.67,0.52,31845689,14922880,2.13,77.18,102.92,2.51,11.96,7.73,74.94,True,5.65,70,B,SOLID,🟡
